x,y,z,section,order,x_norm,z_norm
1.0,-0.00074000074000074,0.0,UPPER,1,1.0,-0.00074000074000074
0.9943039943039943,0.000798000798000798,0.0,UPPER,2,0.9943039943039943,0.000798000798000798
0.984966984966985,0.003328003328003328,0.0,UPPER,3,0.984966984966985,0.003328003328003328
0.9746049746049746,0.006148006148006148,0.0,UPPER,4,0.9746049746049746,0.006148006148006148
0.9631719631719632,0.009272009272009272,0.0,UPPER,5,0.9631719631719632,0.009272009272009272
0.9506799506799507,0.012684012684012685,0.0,UPPER,6,0.9506799506799507,0.012684012684012685
0.9372069372069373,0.01634801634801635,0.0,UPPER,7,0.9372069372069373,0.01634801634801635
0.9228609228609229,0.020227020227020227,0.0,UPPER,8,0.9228609228609229,0.020227020227020227
0.9077959077959078,0.02428902428902429,0.0,UPPER,9,0.9077959077959078,0.02428902428902429
0.8922018922018923,0.028493028493028493,0.0,UPPER,10,0.8922018922018923,0.028493028493028493
0.8762758762758763,0.03278603278603279,0.0,UPPER,11,0.8762758762758763,0.03278603278603279
0.8601858601858602,0.03710903710903711,0.0,UPPER,12,0.8601858601858602,0.03710903710903711
0.8440528440528441,0.04141204141204141,0.0,UPPER,13,0.8440528440528441,0.04141204141204141
0.8279458279458279,0.045666045666045665,0.0,UPPER,14,0.8279458279458279,0.045666045666045665
0.811952811952812,0.049844049844049845,0.0,UPPER,15,0.811952811952812,0.049844049844049845
0.796093796093796,0.0538960538960539,0.0,UPPER,16,0.796093796093796,0.0538960538960539
0.7802967802967803,0.05783005783005783,0.0,UPPER,17,0.7802967802967803,0.05783005783005783
0.7645687645687647,0.06167306167306167,0.0,UPPER,18,0.7645687645687647,0.06167306167306167
0.748993748993749,0.06540906540906541,0.0,UPPER,19,0.748993748993749,0.06540906540906541
0.7336157336157336,0.069001069001069,0.0,UPPER,20,0.7336157336157336,0.069001069001069
0.7184247184247184,0.07242507242507243,0.0,UPPER,21,0.7184247184247184,0.07242507242507243
0.7033807033807034,0.07567707567707567,0.0,UPPER,22,0.7033807033807034,0.07567707567707567
0.6884706884706885,0.07876907876907878,0.0,UPPER,23,0.6884706884706885,0.07876907876907878
0.6737046737046737,0.0816900816900817,0.0,UPPER,24,0.6737046737046737,0.0816900816900817
0.6590736590736591,0.08442808442808443,0.0,UPPER,25,0.6590736590736591,0.08442808442808443
0.6445396445396445,0.08697508697508698,0.0,UPPER,26,0.6445396445396445,0.08697508697508698
0.63005963005963,0.08934108934108935,0.0,UPPER,27,0.63005963005963,0.08934108934108935
0.6156356156356156,0.09154409154409154,0.0,UPPER,28,0.6156356156356156,0.09154409154409154
0.6012976012976012,0.09356609356609356,0.0,UPPER,29,0.6012976012976012,0.09356609356609356
0.586995586995587,0.09537809537809538,0.0,UPPER,30,0.586995586995587,0.09537809537809538
0.5726355726355726,0.09699209699209699,0.0,UPPER,31,0.5726355726355726,0.09699209699209699
0.5581665581665581,0.09843109843109844,0.0,UPPER,32,0.5581665581665581,0.09843109843109844
0.5435675435675436,0.09971909971909973,0.0,UPPER,33,0.5435675435675436,0.09971909971909973
0.5288565288565289,0.10086710086710086,0.0,UPPER,34,0.5288565288565289,0.10086710086710086
0.514055514055514,0.10187310187310188,0.0,UPPER,35,0.514055514055514,0.10187310187310188
0.49917049917049916,0.10273310273310274,0.0,UPPER,36,0.49917049917049916,0.10273310273310274
0.4841984841984842,0.10345010345010346,0.0,UPPER,37,0.4841984841984842,0.10345010345010346
0.4691394691394692,0.10402510402510404,0.0,UPPER,38,0.4691394691394692,0.10402510402510404
0.45399745399745406,0.10446510446510447,0.0,UPPER,39,0.45399745399745406,0.10446510446510447
0.43878543878543885,0.10477610477610477,0.0,UPPER,40,0.43878543878543885,0.10477610477610477
0.4235234235234236,0.10496010496010497,0.0,UPPER,41,0.4235234235234236,0.10496010496010497
0.4082324082324083,0.10501810501810502,0.0,UPPER,42,0.4082324082324083,0.10501810501810502
0.392937392937393,0.10495510495510496,0.0,UPPER,43,0.392937392937393,0.10495510495510496
0.3776693776693777,0.10476810476810478,0.0,UPPER,44,0.3776693776693777,0.10476810476810478
0.3624473624473625,0.10445110445110446,0.0,UPPER,45,0.3624473624473625,0.10445110445110446
0.3472763472763473,0.103997103997104,0.0,UPPER,46,0.3472763472763473,0.103997103997104
0.33215233215233214,0.1034041034041034,0.0,UPPER,47,0.33215233215233214,0.1034041034041034
0.3170763170763171,0.10267510267510269,0.0,UPPER,48,0.3170763170763171,0.10267510267510269
0.3020633020633021,0.10181710181710182,0.0,UPPER,49,0.3020633020633021,0.10181710181710182
0.2871502871502872,0.10083710083710083,0.0,UPPER,50,0.2871502871502872,0.10083710083710083
0.27237727237727244,0.09973109973109974,0.0,UPPER,51,0.27237727237727244,0.09973109973109974
0.2577762577762578,0.0984970984970985,0.0,UPPER,52,0.2577762577762578,0.0984970984970985
0.24337124337124338,0.09713209713209713,0.0,UPPER,53,0.24337124337124338,0.09713209713209713
0.2291922291922292,0.09563809563809564,0.0,UPPER,54,0.2291922291922292,0.09563809563809564
